,DATE,DATE_NAME,DATE_CODE,DATE_TYPE,DATE_TYPECODE,DATE_SORTORDER,GEOGRAPHY,GEOGRAPHY_NAME,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,GEOGRAPHY_SORTORDER,C2021_HH_1,C2021_HH_1_NAME,C2021_HH_1_CODE,C2021_HH_1_TYPE,C2021_HH_1_TYPECODE,C2021_HH_1_SORTORDER,MEASURES,MEASURES_NAME,OBS_VALUE,OBS_STATUS,OBS_STATUS_NAME,OBS_CONF,OBS_CONF_NAME,URN,RECORD_OFFSET,RECORD_COUNT
83,2021,2021,2021,date,0,0,629165562,E00021236,E00021236,2021 output areas,150,83,0,Number of households,0,Number of households,1000000,0,20100,Value,171,A,Normal Value,F,Free (free for publication),Nm-2059d1d32336e0d629165562d0d20100,83,913
84,2021,2021,2021,date,0,0,629165563,E00021239,E00021239,2021 output areas,150,84,0,Number of households,0,Number of households,1000000,0,20100,Value,225,A,Normal Value,F,Free (free for publication),Nm-2059d1d32336e0d629165563d0d20100,84,913
85,2021,2021,2021,date,0,0,629165564,E00021240,E00021240,2021 output areas,150,85,0,Number of households,0,Number of households,1000000,0,20100,Value,208,A,Normal Value,F,Free (free for publication),Nm-2059d1d32336e0d629165564d0d20100,85,913
86,2021,2021,2021,date,0,0,629165565,E00021241,E00021241,2021 output areas,150,86,0,Number of households,0,Number of households,1000000,0,20100,Value,110,A,Normal Value,F,Free (free for publication),Nm-2059d1d32336e0d629165565d0d20100,86,913
87,2021,2021,2021,date,0,0,629165566,E00021243,E00021243,2021 output areas,150,87,0,Number of households,0,Number of households,1000000,0,20100,Value,155,A,Normal Value,F,Free (free for publication),Nm-2059d1d32336e0d629165566d0d20100,87,913
88,2021,2021,2021,date,0,0,629165567,E00021244,E00021244,2021 output areas,150,88,0,Number of households,0,Number of households,1000000,0,20100,Value,161,A,Normal Value,F,Free (free for publication),Nm-2059d1d32336e0d629165567d0d20100,88,913
89,2021,2021,2021,date,0,0,629165568,E00021245,E00021245,2021 output areas,150,89,0,Number of households,0,Number of households,1000000,0,20100,Value,112,A,Normal Value,F,Free (free for publication),Nm-2059d1d32336e0d629165568d0d20100,89,913
90,2021,2021,2021,date,0,0,629165569,E00021246,E00021246,2021 output areas,150,90,0,Number of households,0,Number of households,1000000,0,20100,Value,134,A,Normal Value,F,Free (free for publication),Nm-2059d1d32336e0d629165569d0d20100,90,913
91,2021,2021,2021,date,0,0,629165570,E00021247,E00021247,2021 output areas,150,91,0,Number of households,0,Number of households,1000000,0,20100,Value,109,A,Normal Value,F,Free (free for publication),Nm-2059d1d32336e0d629165570d0d20100,91,913
92,2021,2021,2021,date,0,0,629165571,E00021248,E00021248,2021 output areas,150,92,0,Number of households,0,Number of households,1000000,0,20100,Value,134,A,Normal Value,F,Free (free for publication),Nm-2059d1d32336e0d629165571d0d20100,92,913
93,2021,2021,2021,date,0,0,629165572,E00021249,E00021249,2021 output areas,150,93,0,Number of households,0,Number of households,1000000,0,20100,Value,97,A,Normal Value,F,Free (free for publication),Nm-2059d1d32336e0d629165572d0d20100,93,913
94,2021,2021,2021,date,0,0,629165573,E00021251,E00021251,2021 output areas,150,94,0,Number of households,0,Number of households,1000000,0,20100,Value,109,A,Normal Value,F,Free (free for publication),Nm-2059d1d32336e0d629165573d0d20100,94,913
95,2021,2021,2021,date,0,0,629165574,E00021252,E00021252,2021 output areas,150,95,0,Number of households,0,Number of households,1000000,0,20100,Value,111,A,Normal Value,F,Free (free for publication),Nm-2059d1d32336e0d629165574d0d20100,95,913
96,2021,2021,2021,date,0,0,629165575,E00021253,E00021253,2021 output areas,150,96,0,Number of households,0,Number of households,1000000,0,20100,Value,134,A,Normal Value,F,Free (free for publication),Nm-2059d1d32336e0d629165575d0d20100,96,913
97,2021,2021,2021,date,0,0,629165576,E00021254,E00021254,2021 output areas,150,97,0,Number of households,0,Number of households,1000000,0,20100,Value,97,A,Normal Value,F,Free (free for publication),Nm-2059d1d32336e0d629165576d0d20100,97,913
98,2021,2021,2021,date,0,0,629165577,E00021255,E00021255,2021 output areas,150,98,0,Number of households,0,Number of households,1000000,0,20100,Value,108,A,Normal Value,F,Free (free for publication),Nm-2059d1d32336e0d629165577d0d20100,98,913
99,2021,2021,2021,date,0,0,629165578,E00021256,E00021256,2021 output areas,150,99,0,Number of households,0,Number of households,1000000,0,20100,Value,97,A,Normal Value,F,Free (free for publication),Nm-2059d1d32336e0d629165578d0d20100,99,913
100,2021,2021,2021,date,0,0,629165579,E00021257,E00021257,2021 output areas,150,100,0,Number of households,0,Number of households,1000000,0,20100,Value,103,A,Normal Value,F,Free (free for publication),Nm-2059d1d32336e0d629165579d0d20100,100,913
101,2021,2021,2021,date,0,0,629165580,E00021258,E00021258,2021 output areas,150,101,0,Number of households,0,Number of households,1000000,0,20100,Value,145,A,Normal Value,F,Free (free for publication),Nm-2059d1d32336e0d629165580d0d20100,101,913
102,2021,2021,2021,date,0,0,629165581,E00021259,E00021259,2021 output areas,150,102,0,Number of households,0,Number of households,1000000,0,20100,Value,181,A,Normal Value,F,Free (free for publication),Nm-2059d1d32336e0d629165581d0d20100,102,913
103,2021,2021,2021,date,0,0,629165582,E00021260,E00021260,2021 output areas,150,103,0,Number of households,0,Number of households,1000000,0,20100,Value,152,A,Normal Value,F,Free (free for publication),Nm-2059d1d32336e0d629165582d0d20100,103,913
104,2021,2021,2021,date,0,0,629165583,E00021261,E00021261,2021 output areas,150,104,0,Number of households,0,Number of households,1000000,0,20100,Value,122,A,Normal Value,F,Free (free for publication),Nm-2059d1d32336e0d629165583d0d20100,104,913
